Matuarity,2 Years,3 Years,5 Years,7 Years,10 Years,20 Years,30 Years,,,,,
43.5,1.04,1.09,1.15,1.07,1.15,1.08,1.14,,,,,
44,1.04,1.09,1.15,1.07,1.15,1.08,1.14,,,,,
44.5,1.04,1.09,1.15,1.07,1.16,1.09,1.15,,,,,
45,1.04,1.10,1.15,1.08,1.16,1.09,1.15,,,,,
45.5,1.04,1.10,1.15,1.08,1.16,1.09,1.15,,,,,
46,1.04,1.10,1.16,1.08,1.16,1.09,1.15,,,,,
46.5,1.05,1.10,1.16,1.08,1.17,1.10,1.15,,,,,
47,1.05,1.10,1.16,1.09,1.17,1.10,1.15,,,,,
47.5,1.05,1.11,1.16,1.09,1.17,1.10,1.16,,,,,
48,1.05,1.11,1.16,1.09,1.17,1.10,1.16,,,,,
48.5,1.05,1.11,1.17,1.09,1.17,1.10,1.16,,,,,
49,1.05,1.11,1.17,1.09,1.18,1.10,1.16,,,,,
49.5,1.05,1.11,1.17,1.10,1.18,1.11,1.16,,,,,
50,1.05,1.11,1.17,1.10,1.18,1.11,1.16,,,,,
50.5,1.06,1.12,1.17,1.10,1.18,1.11,1.17,,,,,
51,1.06,1.12,1.17,1.10,1.18,1.11,1.17,,,,,
51.5,1.06,1.12,1.18,1.10,1.18,1.11,1.17,,,,,
52,1.06,1.12,1.18,1.10,1.19,1.11,1.17,,,,,
52.5,1.06,1.12,1.18,1.11,1.19,1.12,1.17,,,,,
53,1.06,1.12,1.18,1.11,1.19,1.12,1.17,,,,,
53.5,1.06,1.13,1.18,1.11,1.19,1.12,1.17,,,,,
54,1.06,1.13,1.18,1.11,1.19,1.12,1.17,,,,,
54.5,1.06,1.13,1.19,1.11,1.19,1.12,1.18,,,,,
55,1.07,1.13,1.19,1.11,1.20,1.12,1.18,,,,,
55.5,1.07,1.13,1.19,1.12,1.20,1.12,1.18,,,,,
56,1.07,1.13,1.19,1.12,1.20,1.13,1.18,,,,,
56.5,1.07,1.13,1.19,1.12,1.20,1.13,1.18,,,,,
57,1.07,1.14,1.19,1.12,1.20,1.13,1.18,,,,,
57.5,1.07,1.14,1.19,1.12,1.20,1.13,1.18,,,,,
58,1.07,1.14,1.19,1.12,1.20,1.13,1.18,,,,,
58.5,1.07,1.14,1.20,1.12,1.21,1.13,1.18,,,,,
59,1.07,1.14,1.20,1.12,1.21,1.13,1.19,,,,,
59.5,1.07,1.14,1.20,1.13,1.21,1.13,1.19,,,,,
60,1.07,1.14,1.20,1.13,1.21,1.14,1.19,,,,,
60.5,1.08,1.14,1.20,1.13,1.21,1.14,1.19,,,,,
61,1.08,1.15,1.20,1.13,1.21,1.14,1.19,,,,,
61.5,1.08,1.15,1.20,1.13,1.21,1.14,1.19,,,,,
62,1.08,1.15,1.20,1.13,1.21,1.14,1.19,,,,,
62.5,1.08,1.15,1.21,1.13,1.22,1.14,1.19,,,,,
63,1.08,1.15,1.21,1.13,1.22,1.14,1.19,,,,,
63.5,1.08,1.15,1.21,1.14,1.22,1.14,1.19,,,,,
64,1.08,1.15,1.21,1.14,1.22,1.14,1.20,,,,,
64.5,1.08,1.15,1.21,1.14,1.22,1.15,1.20,,,,,
65,1.08,1.15,1.21,1.14,1.22,1.15,1.20,,,,,
65.5,1.08,1.15,1.21,1.14,1.22,1.15,1.20,,,,,
66,1.08,1.16,1.21,1.14,1.22,1.15,1.20,,,,,
66.5,1.08,1.16,1.21,1.14,1.22,1.15,1.20,,,,,
67,1.09,1.16,1.21,1.14,1.22,1.15,1.20,,,,,
67.5,1.09,1.16,1.22,1.14,1.23,1.15,1.20,,,,,
68,1.09,1.16,1.22,1.14,1.23,1.15,1.20,,,,,
68.5,1.09,1.16,1.22,1.15,1.23,1.15,1.20,,,,,
69,1.09,1.16,1.22,1.15,1.23,1.15,1.20,,,,,
69.5,1.09,1.16,1.22,1.15,1.23,1.15,1.20,,,,,
70,1.09,1.16,1.22,1.15,1.23,1.16,1.20,,,,,
70.5,1.09,1.16,1.22,1.15,1.23,1.16,1.21,,,,,
